,id,gerne_id,gerne_idx
971,5f6d52ae4fdd4b8a97f39383fa565808,7,6
972,5f757146f6af4b839db3740766259c25,3,2
973,5f9b7bf504614e5cb14454cadd1942ed,7,6
974,5fa9e3327779441db6450091e139bd56,6,5
975,5fce3b40069d4252821ac79eb66ca95c,10,9
976,5fde5a62229a4ae694c3fb11c1425bea,8,7
977,6004cba80b4b413ab83096cd7fce29ae,8,7
978,603d0f8ac8d54f0a9b0bf33fb9be2c88,1,0
979,6063d21ffad84aea823e4d9749cf52ea,3,2
980,609127ed7b07425fbb0c5cbbb605f63e,8,7
981,60933205aaad4264b7160d3887af8372,7,6
982,60945e974d064d79a49470c97dbcf052,9,8
983,6097e0fbce404266a82e9980152df80b,4,3
984,6098ce24bdf74189a12ed937c252b755,10,9
985,60d8a9b512754b66be249ff367b79a0c,8,7
986,60ed5f4abf504308a06f2b8c2674632a,9,8
987,60fd378e575d4a718e52bb9a6a71aa66,8,7
988,610b455be2b2498b927e010b882b5619,10,9
989,61204d41c74048518686a40e637ac77a,7,6
990,6126bd0d85cd42d7b280f7b5cdf97d31,6,5
991,61548937ee2446ec80384e068e993769,5,4
992,6159c125ba134794aeee4fa1433effa6,7,6
993,615f46cfff434df3844b9b61795c757c,4,3
994,616e2ff76625408384e66aa91ce9c50c,7,6
995,617d7bf5e3cf4b4a815ba16bc82ddf34,4,3
996,61aefb1319d14312b82c07600a37fc1e,7,6
997,61b4c75f738244418de5b2fb3d4f408c,2,1
998,61fef4722af1464b94c32bd657461af8,6,5
999,6213c4db8c10499bb639e2959fbcbe40,6,5
1000,62169b95f9184ee0954916a0e64f9e9f,3,2
1001,621e73e72f1540bfbc44fb799cfcd3fe,7,6
1002,62265dae881246a78284fc69879faa9d,5,4
1003,62295261d6324af6966ee9d1319a5a3d,7,6
1004,6259c45c733444758bfeb9a38974592e,6,5
1005,628daf7bda2043109d9b9082eafd59c4,8,7
1006,62a5ca37c23843cbb8729b4b5d0a6eec,10,9
1007,62c595fc05aa492d8641ecd0a24bce85,9,8
1008,62ee457515ed4cdea6a1e0d367a66541,9,8
1009,62f666d8f1464f8ba55120c1c1b4c0e9,10,9
1010,630b47a1e9c6441191113eeba1c58e83,9,8
1011,6347173fb149441ebdf3b7408f83aee7,10,9
1012,639538b0ddd64a2b8f52f379e4c5d64f,2,1
1013,63cc57df57d24cad9369480a0e24153e,4,3
1014,63d01b644ce14839b84dd71e9e8aa4b5,6,5
1015,63d41bacbc8f4fe6896db9f41d724c05,3,2
1016,63e8980fa41e4c028d5782e8468a66d0,1,0
1017,63e8d14a93cb44f89c97f1e837ddc1b7,6,5
1018,63f5e510f4964d92a068b26c88de7bab,7,6
1019,63fbd2cb3b884a98b21c7a4f70b9ecb2,9,8
1020,6403467b47234e02ba68852dbf5de7ec,7,6
1021,64143aa1310c499389c151fb1167a322,7,6
1022,64276933bc2445f1b6e8f1ef5c3440da,4,3
1023,644c7fc1f3644f099dc8a91e53667711,3,2
1024,647033bffffe47ea91c0e00c2ba69d82,9,8
1025,6498d5e3b67045a6b90cbc05aada78c6,7,6
1026,64a6d3fc9de440f7a24d1057e5d5485f,1,0
1027,64a87fd41c2a46008e7c93f4bd882e33,6,5
1028,64d2289767524fd3833e80c94deb500f,5,4
1029,6519b2cabb0d40d9987442ee6ee00138,9,8
1030,6550f20cd8634ea5b0e3b07f6cd284ab,5,4
1031,65639ae5c91249f59d37696837e56da9,2,1
1032,657088dd726340458045e57e83597075,2,1
1033,6589cc0f642d4f838262c37b31d85354,6,5
1034,65af26537e3f4daeae00acc58e7a59af,1,0
1035,65b20dca88c94e39b651a208aacc8c7d,10,9
1036,65d73451ccc540c7ba79f7fdf0395dd1,7,6
1037,65f8f8b3cdf04495a27f2356e5e135b9,7,6
1038,6607a914c16f4519ab2608e4845f0340,7,6
1039,662c8cdb27b2433481377f5961e9defe,7,6
1040,66971f41445443c9b9d6c01e193cba55,1,0
1041,669f2554716042eab3fde8471038159f,8,7
1042,66b4ed845c774046a4d9bf9a00360bef,7,6
1043,66d2254ca4e9493bbd7010ef17da206d,7,6
1044,66ebcbc24e69429fb05095bef152aa7c,6,5
1045,66f155ea94004d5b8f47a6e9859d8aa0,9,8
1046,67074692b03d4ab78649458adbf309d3,7,6
1047,673137c8768e4405bd1a31f779f2873f,10,9
1048,67396478d3044c0dbbd06603f24fa63a,3,2
1049,6745b8d861074880bbdc1d90449096b2,3,2
1050,674eb8a0f65745fd8c40ab23def7d332,7,6
1051,6776ed4dbf434e06b8a302fd78e8480b,7,6
1052,6785e3a0c5f04e3fab8da851b5d7bb7b,6,5
1053,67aa8b853a5e4f9dbfe9e302594e7edf,10,9
1054,67c20b681308444ca112d0e7cbc76455,10,9
1055,67c6de2faaeb4b59b4ef702e57b817fa,5,4
1056,67df5e4d00fe456780bf41887ddadbdd,10,9
1057,67f0958f597a4b36aedc124856845077,3,2
1058,67f5531bfc9a4329b40874a86899f411,5,4
1059,67fecdcb19f446fc9fe10a687d17392d,2,1
1060,6808c92d04ae438c9890b54e78b2fd3d,8,7
1061,6842a707ecb1441892c4dde5f6164ebc,4,3
1062,684e1d5aa59d4b89844a58abc52bd573,1,0
1063,685fadf798074b068a24c4994bbeb8d8,5,4
1064,688d0c585d7040a5b9f8991fba085514,9,8
1065,68df36f9981042d19a2689b9451885d2,3,2
1066,68ead0a07d174e57bd9f8fc5579e6c62,9,8
1067,68eb88a39b674ab78463e3e3418d29f9,8,7
1068,68fb60f1bb174344ae7d89ae04e84a71,6,5
1069,6909e30381cf48239aa2146c529fb612,10,9
1070,69141483bdb14f799e9d86b5b3d3c22b,6,5
1071,697d5b28e1344f14b19e21dd10a3b226,10,9
1072,69a807244a6843f4a2fc7f34b1561591,1,0
1073,69f66a163123489f8a2bc7a45f2989d2,7,6
1074,69ff424a5cbd4d5eb2407619b10bd0f1,5,4
1075,6a10a3730669466ca275ba1a6b6a3455,6,5
1076,6a1545f041d14db8b15567a36b8d60d4,9,8
1077,6a2a92a360b4466b9d3fefb7d2590f99,6,5
1078,6a442b30ff0d4275860fec4ca651dcd3,1,0
1079,6a510393eaca4466af2bfc0dcdb9c08f,5,4
1080,6a72b6045d674885877e7849b6e59bf8,5,4
1081,6a76b6b7654540fba4d741a758393db8,9,8
1082,6a7b3a4671524f9894660979cd4c3d22,7,6
1083,6a7b49ff8cdb498a96970e3960cf7fdb,2,1
1084,6a900bf1b1df46ab9f45f3fc08556b14,1,0
1085,6acd71370a82465682eb56dc7e0adc38,7,6
1086,6aeefda4864e424787f7db446b456656,5,4
1087,6b08d0cb4fc347e88b110facd995a297,3,2
1088,6b143b8076fb4e8c9fe8ff78aaac203d,1,0
1089,6b1a06da08fe4f939678a034acec47e4,1,0
1090,6b2c871ff06747ee8d52042f93e0826b,4,3
1091,6ba91e18d8ea48b9ba4182b6ddd8908c,10,9
1092,6bc7dd68212b4e1a9601050e55d98b96,4,3
1093,6bde4e55645846259a844cfd482c2339,5,4
1094,6bdf49028e844eb688737f54f9723ce5,1,0
1095,6be2185061274d88938675951e5e1dad,1,0
1096,6c1cfcabe7fb4fd084e9453bc9bfaec5,1,0
1097,6c1de305a08f4ebf8b8bcc683ee1ed07,6,5
1098,6c24c9ad113b47d09edecc09079f33a1,7,6
1099,6c6982bd2e0a44edadaf7b323dedc1ca,7,6
1100,6cfee07f6f1f4e7d98833c299ec5b1fb,8,7
1101,6d125487635a4926a4f380aea4486077,8,7
1102,6d129e8049ad40f0b039ec8e596df6cc,2,1
1103,6d19ce5842bd444481c997f3581cc7a5,9,8
1104,6d2a50368c3a4fe8b271f8aef8d58a83,10,9
1105,6d60e831b688485dbd4d692d18d92cd9,8,7
1106,6d713e69c0b84964a737ae8825393d10,5,4
1107,6d96240ae64740b496866a68db321b84,6,5
1108,6e1c2fa03ef64ebfaa4a7a8b25f13e43,1,0
1109,6e1f2763d87741889fe7914053893b7e,10,9
1110,6e4d3749b98846ce91f1f0142ef92a73,1,0
1111,6e725f15474e4b30901bf41762036e55,5,4
1112,6e85c73f6a5e444cb8f98d2ec39198b2,3,2
1113,6e96053c00714fc680ee7a6b4f62f593,7,6
1114,6ec25261c9a24cceb6236ab758c9d566,8,7
1115,6ed43a1c6eb34c76b7c2aca6468e5198,3,2
1116,6edf14f5354143b8bcf7198bee55d6f4,7,6
1117,6f2948b03886474a9dd1c9fb54c82051,5,4
1118,6f4338ec0630415dacea3ee03d2febf3,3,2
1119,6f5bcff4bf7d46148221e60283d79bc1,4,3
1120,6f6370ef5af1438195be491dca93cde8,10,9
1121,6f6d66053c0849c1a7735122147cfef8,1,0
1122,6fa206c37e634f1d91896815de011c1d,2,1
1123,6fb415c601174b2584c7692835882cd2,10,9
1124,6fb51fc224fa4b5baa3c25b98b1f6fbb,6,5
1125,6fc59bcef71d4d2a8417298179033e54,7,6
1126,6fd5f6dd168743b7af8743551e2d7add,3,2
1127,6fe9df2144c147309810e61219de0b8d,8,7
1128,7027a2361ad64391b653c6c472c05a35,10,9
1129,702b4c3b884a4e58ad0e10a6d2b0d007,3,2
1130,704e202a7efb44d59436af6b433322fa,6,5
1131,70774b82a327494794af285121ef9b58,8,7
1132,707f23407a42405980f2862c7437414f,7,6
1133,70ad1e4b45bf4120a2a4f72e1f1dcd50,3,2
1134,70c55d151c134f97aef45fe609d2ef6b,8,7
1135,70c81af0209e4f82bfba020f23b0cb72,7,6
1136,70d8262583394c38aecaa11f6c6d57ba,8,7
1137,70f5a5f984ff450f97e72e24d21022b5,1,0
1138,7179babe2a1949c8aef029dc0fc17860,6,5
1139,718221a1b0ad4fe285bed2f35001d66d,1,0
1140,718833f1cd974151b8679bf2b3243568,2,1
1141,71df7db085e941b685693e8b6d7e2e95,3,2
1142,720042c1635a4ee1bf5501f6e6dd8802,9,8
1143,7201ef37c8a64923a117301316790295,9,8
1144,7202730d41c2475495eea4e2b56f502b,1,0
1145,72119ac0a6b645cbae6a362670bce02a,4,3
1146,7215eb45e09c4bd18f46c837fd81f5ec,9,8
1147,722b0cd4d360406fa7d7d3d4069b5736,7,6
1148,722fd73ae9c7453bad8077da21e2127b,5,4
1149,723228c404544dffa2a60d329e817be4,9,8
1150,723364ad181b4544b93993fc3cccbe00,8,7
1151,725cd255335d456a8589e184876239e7,9,8
1152,727a571286ee4148af1b03508bff34cb,8,7
1153,72b664fe13f245f2b5a003116b92b3d3,7,6
1154,72d579260d094d96b46bb632b4448369,7,6
1155,7305529e073f4adf8a81ed3e969f1822,9,8
1156,730f66049216453fab2ec757b9246699,5,4
1157,734c9b7e894248c993fdc5cea904f4b7,2,1
1158,736c79af52684c4c9b89dd20d917191c,7,6
1159,736e5767d6d3427e81e3f3b29b6d93e7,10,9
1160,7391379334994d4699ac4678de16a27a,4,3
1161,73aa886bff3e435c8a369f2c6f9360fc,8,7
1162,73ad4892a64242a993447ed67970d354,8,7
1163,73aec93ea8ae46d5a0dd97c324a9d842,10,9
1164,73b54ec63aa142dd98ad5aa98eebff9b,3,2
1165,73cdaea056c84f4a897e4c9f84790c37,5,4
1166,73e328d1d61a4842894ddeb0ffdf7494,7,6
1167,73f92f5ea1a94effacc14594232d0797,4,3
1168,74116115e4714f22933986b0032a1957,9,8
1169,7419bc35073041d7b77a9c4b471082d8,7,6
1170,7422408120a64599a0dd0580dd8a3c23,3,2
1171,743c989d92b54d4e98deadced00d8a43,3,2
1172,743fdea779af4a8382b61ade387e6882,1,0
1173,74521be3173b49c1bf4e9d618fe9a0f0,5,4
1174,74719b00ed54459cbe4988b034994c52,3,2
1175,74805e9729a94266b8f747f198fcc06f,3,2
1176,7481dc47821e4e24a9f66ca0b65caef4,2,1
1177,748ece1e01e2409bb9169a4699c48706,8,7
1178,74c695a31a774c48809c253fc7b4f87b,10,9
1179,74d08865bbfe4b29a024a519b7902b35,6,5
1180,7509a33156554487b4290d8159c6fcb8,7,6
1181,7515855d888b48d0be40b8594f663118,4,3
1182,751ed22a9dc441c89e208894e25ee89b,8,7
1183,753b338337f948349fb257872546ba29,1,0
1184,7584bef35f41465dad626008a7daa84a,3,2
1185,75893b45230c40eb8d2c626c659d84d1,6,5
1186,758c03aadadd4f4eaa7fad5e4a7fb4f9,2,1
1187,759e7b25a7d742e6a4f123089b280065,2,1
1188,75b4070c69ec4441a9c48f749eed0ebd,9,8
1189,75b640fcefa043f3aefa5e92bf6a6b92,9,8
1190,75b7f31bc59b47c2ac2b4dd40289143d,5,4
1191,75c0d6c5646446f3bf500877900e0e1a,10,9
1192,75cdef6f9ce1471497367f969e8b0e2d,9,8
1193,760b5de93f084870b4e09caf7e588b7b,1,0
1194,761bffbae4ef4b85bd2b52624e011d6c,7,6
1195,762e728c58f541858bca22d8ea9eb99c,8,7
1196,76471ee9128140dc82e8b65d805595e3,5,4
1197,7654480af1a14a2c9007d83d45883f73,7,6
1198,7660902dc5844fa4b0d7caf0ed767890,2,1
1199,7674ea8135254210ab3c815d8feb5080,3,2
1200,767daa1d08b544a49405d725cb6a644c,3,2
1201,768063a670c04538be070fb2e29d09e1,1,0
1202,76a59234b54f4edc9180eb58ab75adbb,2,1
1203,76bb4c7dee1d4b0eb03b25dab60deedd,3,2
1204,76be8da60dad4d69aacdd871f4964333,1,0
